applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
139 applicants,External Apply,"$108,000.00/yr - $118,000.00/yr",PostalAddress,US,7259,682137,1909,"New York, NY",3365729,Media Production,New York,Condé Nast,Privately Held,10007,NY,"1,001-5,000 employees",,"Publishing, Fashion, Luxury, Digital, Journalism, Engineering, Technology, Media, Advertising, Creative, Magazines, Magazine, Editorial, Content, Design, and Editing",1 World Trade Center,Full-time,Media Production,Information Technology,New York City Metropolitan Area,18/01/2025 14:51,Mid-Senior level,BI & Analytics Engineer I,"['sql', 'power bi', 'tableau', 'aws', 'data visualization', 'google analytics', 'database']"
Over 200 applicants,Easy Apply,,PostalAddress,US,17,3302,2011,"Washington DC, New York",770704,Investment Management,Washington DC,Riveria Group,Privately Held,10016 and 20004,New York ,11-50 employees,,,New York,Full-time,Investment Management,Finance and Sales,"New York, NY",18/01/2025 16:17,Entry level,Private Equity Analyst/Associate,['excel']
Be among the first 25 applicants,External Apply,,PostalAddress,US,4,610,2012,"Seguin, Texas",2735943,Human Resources Services,Seguin,Pedigo Staffing Services,Privately Held,78155,Texas,2-10 employees,"Talent Acquisition Service - contract, contract to hire, and perm for  Information Technology, Healthcare.","Executive Employment Placement & Contract Recruiting, Staffing ant Talent Augmentation, Information Technology, Accounting, Administration, Management, and ERP - SAP, JD Edwards, Oracle Financials, PeopleSoft, Hyperion, Epicor, Microsoft Navigant / Great Plains",503 S Austin,Full-time,Human Resources Services,Information Technology,"Baton Rouge, LA",18/01/2025 4:03,Entry level,"Data Analyst, Baton Rouge, La","['sql', 'power bi', 'tableau', 'mysql', 'postgres', 'database']"
74 applicants,External Apply,"$80,000.00/yr - $92,000.00/yr",,,14,113,,,96644436,Financial Services,,Logistics Management Institute,Public Company,,,2-10 employees,,,,Full-time,Financial Services,Information Technology,"Dayton, OH",18/01/2025 4:46,Entry level,Healthcare Data Analyst,"['sql', 'power bi', 'data analytics', 'statistics']"
111 applicants,External Apply,$45.67/hr - $53.85/hr,PostalAddress,US,1443,165621,2015,"Dallas, Texas",17966039,Hospitals and Health Care,Dallas,Verily,Privately Held,75019,Texas,"1,001-5,000 employees","We are an Alphabet company bringing the promise of precision health to everyone, every day.","healthcare, hardware, software, clinical studies, scientific research, disease management platforms, sensors, population health management, precision medicine, precision health, health equity, digital health, and health tech",2999 Olympus Blvd,Full-time,Hospitals and Health Care,Engineering and Information Technology,"San Bruno, CA",18/01/2025 1:12,Internship,Data Scientist Evaluation Intern,['statistics']
Be among the first 25 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Full-time,IT Services and IT Consulting,Engineering and Information Technology,"Fremont, CA",24/12/2024 14:45,Entry level,Junior Data Scientist/Analyst (Remote),"['python', 'excel', 'powerbi', 'tableau', 'machine learning', 'data visualization', 'data analytics', 'statistics', 'nlp', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"Hayward, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
Be among the first 25 applicants,External Apply,$35.00/hr - $40.00/hr,PostalAddress,US,102,958,1973,"Saddle Brook, New Jersey",40735156,Staffing and Recruiting,Saddle Brook,"HEPCO, Inc.",Partnership,7663,New Jersey,201-500 employees,"Engineering, IT, Telecommunications-temp & perm staffing and recruiting |  SDVOSB | since 1973 |","recruiting, staffing, engineering, IT, Telecommunications, payroll, SDVOSB, aerospace, aviation, transit, security clearance, DoD contracts, and defense contracts",160 Pehle Ave,Contract,Staffing and Recruiting,Management and Manufacturing,"New York, NY",18/01/2025 8:32,Entry level,Statistical Assistant,"['data visualization', 'data warehouse', 'snowflake', 'database']"
138 applicants,Easy Apply,$65.49/hr - $65.49/hr,PostalAddress,US,1451,480945,2001,"Newark, CA",30324,IT Services and IT Consulting,Newark,Intelliswift - An LTTS Company,Privately Held,94560,CA,"1,001-5,000 employees",The future belongs to those who Love the New!,"Enterprise Applications, Mobility / Collaboration, Big Data / Business Intelligence, Cloud Solutions, Quality Assurance, Web Solutions, Digital Transformation, Product Engineering, Technology Solutions, Digital Product Engineering, Digital Enterprise, Snowflake, Oracle NetSuite, Apigee, Digital Integration, Data Management & Analytics, Digital Assurance, Extended Engineering Services , AI/ML, Business Process Automation, TIBCO, salesforce, artificial intelligence, and Smartsheet",39600 Balentine Dr.,Contract,"Software Development and Technology, Information and Media",Analyst and Product Management,"San Jose, CA",18/01/2025 0:32,Mid-Senior level,Product Data Analyst,"['python', 'sql', 'hadoop', 'spark', 'statistics', 'big data', 'brick']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,269,1656,,"Bismarck, ND",15727853,Government Administration,Bismarck,ND Health and Human Services,Government Agency,58505,ND,"1,001-5,000 employees",Our vision is to make North Dakota the healthiest state in the nation.,Public Health and Human Services,600 E Boulevard Ave,Full-time,Government Administration,Analyst,"North Dakota, United States",17/01/2025 0:00,Mid-Senior level,Healthcare Data Analyst,"['sql', 'power bi', 'tableau', 'data analytics', 'statistics', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,3337,16773,2016,"New York, New York",11827982,Government Administration,New York,NYC Department of Social Services,Government Agency,10007,New York,"10,001+ employees",Serving New Yorkers with Care and Compassion,"social services, government administration, welfare, food assistance, Homelessness Prevention, Rental Assistance, Cash Assistance, Adult Protective Services, Child Support Services, Employment, Temporary Emergency Shelter, and shelter services",,Full-time,Government Administration,Information Technology,"Manhattan, NY",18/01/2025 14:27,Internship,Data & Process Automate Intern,"['excel', 'power bi', 'aws', 'power platform', 'power automate']"
27 applicants,External Apply,,PostalAddress,US,518,5615,1997,"Jacksonville, Florida",20607,Utilities,Jacksonville,The Energy Authority,Nonprofit,32207,Florida,201-500 employees,Strategic Solutions for Public Power,"Energy Portfolio Risk Management, Energy Trading, Hydro Optimization, Energy Risk Advisory Services, Advanced Analytics, Renewables, and Transmission Planning & Analysis",1301 Riverplace Blvd,Full-time,Utilities,Information Technology,"Jacksonville, FL",17/01/2025 0:00,Mid-Senior level,Data Engineer,"['python', 'sql', 'excel', 'power bi', 'machine learning', 'azure', 'spark', 'data visualization', 'big data', 'brick']"
97 applicants,Easy Apply,"$80,000.00/yr - $100,000.00/yr",PostalAddress,US,119,291293,2018,"New York, NY",27179912,Staffing and Recruiting,New York,Arrow Search Partners,Partnership,10016,NY,51-200 employees,,,275 Madison Ave,Full-time,Staffing and Recruiting,Finance and Sales,"New York, NY",18/01/2025 11:11,Entry level,Investment Analyst,['database']
32 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Contract,IT Services and IT Consulting,Information Technology,"Oakland, CA",18/01/2025 8:26,Entry level,Data Analyst (Remote),"['python', 'excel', 'powerbi', 'tableau', 'machine learning', 'data visualization', 'statistics', 'nlp', 'database']"
Be among the first 25 applicants,External Apply,$20.00/hr - $30.00/hr,PostalAddress,US,102,958,1973,"Saddle Brook, New Jersey",40735156,Staffing and Recruiting,Saddle Brook,"HEPCO, Inc.",Partnership,7663,New Jersey,201-500 employees,"Engineering, IT, Telecommunications-temp & perm staffing and recruiting |  SDVOSB | since 1973 |","recruiting, staffing, engineering, IT, Telecommunications, payroll, SDVOSB, aerospace, aviation, transit, security clearance, DoD contracts, and defense contracts",160 Pehle Ave,Contract,Staffing and Recruiting,Management and Manufacturing,"New York, NY",18/01/2025 8:32,Entry level,Statistical Assistant,"['excel', 'statistics', 'database']"
33 applicants,External Apply,,PostalAddress,US,131,18211,2010,"Fremont, California",66321745,IT Services and IT Consulting,Fremont,SynergisticIT,Privately Held,94539,California,201-500 employees,The Best Programmers in the Bay Area.....Period!,"Software Development, IT Recruitment, and IT Upskill",Civic Center Dr,Contract,IT Services and IT Consulting,Information Technology,"Charleston, SC",18/01/2025 8:25,Entry level,Entry Level Data Analyst,"['python', 'excel', 'powerbi', 'tableau', 'machine learning', 'data visualization', 'statistics', 'nlp', 'brick', 'database']"
109 applicants,External Apply,,PostalAddress,US,126313,917216,1945,"Oakland, California",1550,Hospitals and Health Care,Oakland,Kaiser Permanente,Nonprofit,94612,California,"10,001+ employees",,,1 Kaiser Plaza,Full-time,Hospitals and Health Care,Information Technology,"Riverside, CA",18/01/2025 16:23,Mid-Senior level,Data Analyst,"['data visualization', 'data analytics', 'statistics', 'database']"
200 applicants,External Apply,"$44,000.00/yr - $130,000.00/yr",PostalAddress,US,95696,6708645,1984,"San Jose, CA",1063,Software Development,San Jose,Cisco,Public Company,95134,CA,"10,001+ employees",We securely connect everything to make anything possible.,"Networking, Wireless, Security, Unified Communication, Cloud, Collaboration, Data Center, Virtualization, Unified Computing Systems, Artificial Intelligence, Observability, Sustainability, Computing, Software, and Services (CX)",Tasman Way,Internship,"Computer Hardware Manufacturing, Software Development, and Computer Networking Products",Other,"San Jose, CA",18/01/2025 5:19,Not Applicable,Data Analyst (Intern) United States,"['python', 'excel', 'machine learning', 'aws', 'azure', 'hadoop', 'spark', 'data visualization', 'data analytics', 'statistics']"
168 applicants,External Apply,$28.00/hr - $33.00/hr,PostalAddress,US,363,3404,2006,"Ventura, CA",1002271,IT Services and IT Consulting,Ventura,VSolvit,Privately Held,93003,CA,201-500 employees,Where Opportunity...Meets Solution,"Geographical Information Systems, Government Consulting, Information Technology, DoD, and Software Engineering",4171 Market Street,Full-time,IT Services and IT Consulting,Information Technology,United States,,Entry level,BUSINESS DATA ANALYST 1,"['python', 'sql', 'excel', 'power bi', 'aws', 'data analytics', 'snowflake', 'dax', 'database']"
40 applicants,External Apply,,,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Management and Manufacturing,"San Francisco, CA",18/01/2025 4:44,Entry level,Supply Chain Data Analyst,['aws']
196 applicants,Easy Apply,,PostalAddress,US,1375,298055,2007,"Clive, Iowa",2736308,Information Technology & Services,Clive,ATC,Privately Held,50325,Iowa,201-500 employees,"SAFe Gold Implementation Partner | AI & Intelligence (we build PoCs with our AI framework) | SaaS product Development
 ","Contract Opportunities, IT Staffing, Mobile Application Development, Managed Services, Security Testing, Performance Testing, Devops Engineering, SAFE, bots, Robotic Process Automation, AI, artificial intelligence, SAFe Training, AGILE Training, Product Development, SaaS product developoment, DevOps POD, Testing POD, Security Testing, Federal, UX, and UI",12951 University Ave,Full-time,IT Services and IT Consulting,Information Technology,"Texas, United States",18/01/2025 12:40,Entry level,Data Analyst-Tx,"['python', 'sql', 'excel', 'power bi', 'tableau', 'data visualization', 'database']"
139 applicants,External Apply,$45.67/hr - $53.85/hr,PostalAddress,US,1443,165621,2015,"Dallas, Texas",17966039,Hospitals and Health Care,Dallas,Verily,Privately Held,75019,Texas,"1,001-5,000 employees","We are an Alphabet company bringing the promise of precision health to everyone, every day.","healthcare, hardware, software, clinical studies, scientific research, disease management platforms, sensors, population health management, precision medicine, precision health, health equity, digital health, and health tech",2999 Olympus Blvd,Full-time,Hospitals and Health Care,Engineering and Information Technology,"South San Francisco, CA",18/01/2025 1:12,Internship,Data Scientist Evaluation Intern,['statistics']
168 applicants,Easy Apply,$60.00/hr - $85.00/hr,,,,186,,,105608941,Software Development,,Verla Technologies,Privately Held,,,51-200 employees,,,,Full-time,Software Development,Engineering and Information Technology,United States,,Entry level,Data Scientist,"['python', 'sql', 'excel', 'power bi', 'tableau', 'machine learning', 'deep learning', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'data visualization', 'statistics', 'numpy', 'pandas', 'big data', 'database']"
70 applicants,Easy Apply,,PostalAddress,GB,9230,232038,,"London, UK",9707,IT Services and IT Consulting,London,Endava,Public Company,EC2N 1AR,UK,"10,001+ employees",,"Digital Strategy, Continuous Delivery & DevOps, Digital Execution, Applications Management, UX/Creative Services, Testing Services, Distributed Agile Development, Service Desk, Cloud, Insight Through Data, Digital Evolution, Agile Transformation, and Automation",125 Old Broad Street,Full-time,IT Services and IT Consulting,Information Technology,"Charlotte, NC",18/01/2025 2:34,Mid-Senior level,Data Analyst Contract (Virtual Card Spend Analysis),"['sql', 'excel', 'data analytics']"
Over 200 applicants,External Apply,"$62,000.00/yr - $85,000.00/yr",PostalAddress,US,308,38435,,"Philadelphia, PA",2430084,Business Consulting and Services,Philadelphia,Crew,Privately Held,,PA,"1,001-5,000 employees",Discover Turnberry’s talent development program for high-performing associate level consultants: Crew,"Business Consulting, Project Delivery, Project Coordination, Professional Training, Business Analysis, Operational Consulting, IT Analysis, Project Management, and Development",,Full-time,Business Consulting and Services,"Research, Analyst, and Information Technology",United States,,Entry level,Power BI Data Analyst,"['power bi', 'data visualization', 'power automate', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"Fremont, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
102 applicants,External Apply,$45.67/hr - $53.85/hr,PostalAddress,US,1443,165621,2015,"Dallas, Texas",17966039,Hospitals and Health Care,Dallas,Verily,Privately Held,75019,Texas,"1,001-5,000 employees","We are an Alphabet company bringing the promise of precision health to everyone, every day.","healthcare, hardware, software, clinical studies, scientific research, disease management platforms, sensors, population health management, precision medicine, precision health, health equity, digital health, and health tech",2999 Olympus Blvd,Full-time,Hospitals and Health Care,Engineering and Information Technology,"Mountain View, CA",18/01/2025 1:12,Internship,Data Scientist Evaluation Intern,['statistics']
Be among the first 25 applicants,External Apply,$22.02/hr - $25.90/hr,PostalAddress,US,16343,126775,1955,"Los Angeles, CA",2474,Hospitals and Health Care,Los Angeles,UCLA Health,Nonprofit,90095,CA,"10,001+ employees","For 60+ years, UCLA Health has provided the best health care & the latest medical tech to the people of LA & the world.",Hospital & Healthcare,757 Westwood Plaza,Full-time,Hospitals and Health Care,"Research, Analyst, and Information Technology","Los Angeles, CA",17/01/2025 0:00,Entry level,Clinical Research Assistant,[]
42 applicants,External Apply,,PostalAddress,US,4590,65965,1866,"Queens, New York",245926,Hospitals and Health Care,Queens,NYC Department of Health and Mental Hygiene,Government Agency,10013,New York,"5,001-10,000 employees",Promoting and protecting the health of all New Yorkers.,,42-09 28th Street,Full-time,Hospitals and Health Care,Information Technology,"Manhattan, NY",18/01/2025 17:52,Internship,Data Analytics Grad Intern,"['sql', 'excel', 'power bi', 'aws', 'data visualization', 'database']"
33 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Other,"Atlanta, GA",18/01/2025 8:59,Not Applicable,DATA SCIENTIST - SUPPLY CHAIN,"['python', 'sql', 'excel', 'tableau', 'data visualization', 'data analytics', 'statistics', 'nlp']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,193,8148,2008,"Reston, VA",327412,Advertising Services,Reston,Resonate,Privately Held,20190,VA,51-200 employees,"The deepest, freshest, most actionable consumer data. One easy-to-use, AI-driven platform ready for a post-cookie world.","Intelligence-to-Activation, Marketing Analytics, Online advertising, Values and motivations based marketing, Brand marketing, Attitudinal targeting, Political campaign advertising, Brand advertising, Issue advocacy advertising, Consumer Insights, Media Activation , Data, Digital Marketing, Consumer Research, Market Segmentation, Digital Marketing Measurement, Marketing Insights, Advertising Insights, Marketing Planning, Advertising Planning, Customer Experience Planning, AI-Driven Insights, Marketing Data, Customer Data, Data Enrichment, Marketing Research, Market Research, DMP, CDP, Data Append, Custom Research, Marketing Activation, Advertising Activation, Segmentation, Managed Media, Media Planning, Customer Acquisition, Customer Engagement, Advertising Analytics, Marketing Performance, ROAS, Advertising Targeting, Audience Insights, Agile Marketing, Psychographic Data, Consumer Sentiment Tracking, Consumer Trends, Voter Data, Voter Targeting, and Voter Insights",11720 Plaza America Drive,Full-time,"Technology, Information and Internet",Legal,"Washington, DC",18/01/2025 3:37,Director,"Senior Director, Data Licensing & AI Powered Data Analytics","['machine learning', 'aws', 'data analytics', 'snowflake']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,10,4949,,"San Francisco, CA",100901807,Business Consulting and Services,San Francisco,Amplytics,Privately Held,,CA,11-50 employees,Amplify your analytics and see beyond the numbers.,,,Full-time,Business Consulting and Services,Information Technology,"San Francisco, CA",18/01/2025 14:46,Mid-Senior level,Data Visualization Consultant,"['sql', 'excel', 'power bi', 'tableau', 'data visualization']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,30,8671,,"New York, NY",98524765,Business Consulting and Services,New York,AURA,Privately Held,10036,NY,51-200 employees,"Aura is an NYC-based marketing agency dedicated to empowering your business with scalable, growth-driven solutions.",,,Full-time,Internet Publishing,Marketing and Sales,"New York, NY",18/01/2025 7:03,Internship,Entry Level Brand Marketing Representative,['excel']
Be among the first 25 applicants,External Apply,,PostalAddress,US,74,2508,1921,"Birmingham, AL",2449492,Mining,Birmingham,O'Neal Industries,Privately Held,35205,AL,"1,001-5,000 employees",The nation's largest family-owned network of metals service centers and component and tube manufacturing businesses.,,2311 Highland Ave. South,Full-time,Mining,Information Technology,"Hamilton, OH",18/01/2025 6:44,Mid-Senior level,Power BI Developer,"['python', 'sql', 'excel', 'power bi', 'powerbi', 'tableau', 'data visualization', 'sql server', 'dax']"
Over 200 applicants,External Apply,"$126,000.00/yr - $153,000.00/yr",PostalAddress,US,8075,379244,2010,"New York, NY",1066442,Software Development,New York,Datadog,Public Company,10018,NY,"1,001-5,000 employees","Datadog provides cloud-scale monitoring and security for metrics, traces and logs in one unified platform.","SaaS, APM, Software, Log Management, Cloud, DevOps, Monitoring, Infrastructure, Distributed Systems, Cloud Computing, Open-source, and Golang",620 8th Ave,Full-time,Software Development,"Research, Analyst, and Information Technology","New York, NY",18/01/2025 2:07,Mid-Senior level,Data Analyst - Product,"['sql', 'excel', 'tableau', 'snowflake']"
26 applicants,External Apply,$40.00/hr - $45.00/hr,PostalAddress,IN,481,25241,2002,"Bangalore, Karnataka",66355014,IT Services and IT Consulting,Bangalore,PRIMUS Global Technologies Pvt Ltd,Privately Held,560066,Karnataka,"1,001-5,000 employees","Global Capacity, Local Excellence ! ","IT Staffing, Contract Staffing , Search, Selection, IT Services, and IT Solutions","28/2 Siddapura,",Full-time,IT Services and IT Consulting,Information Technology,"Dallas, TX",17/01/2025 0:00,Entry level,Data & Reporting Analyst – REMOTE WORK,"['python', 'sql', 'excel', 'powerbi', 'tableau', 'gcp']"
32 applicants,Easy Apply,,PostalAddress,US,39,103423,2011,"Atlanta, Georgia",72055323,Software Development,Atlanta,Artmac,Privately Held,30345,Georgia,11-50 employees,"Digital,Consulting & Managment","Application Management Services, IT Staff Augmentation, Test Automation, RPA, AI, digital transformation, Devops, Cloud solutions, Enterprise Mobility, Staff Augmentation, Workforce Solutions, Recruiting, Automation, Project Engagement, Business Intelligence services, Technology Consulting, Staffing Services (Temping & Permanent), Infrastructure Management Services, Enterprise Technology Integration, robotic process automation, Artificial Intelligence,  IoT, machinelearning, SAP, Quality Assurance, CRM, HCM,  IT Talent Management Expertise, Digital Services, and Process Automation",2310 Parklake ,Full-time,Software Development,Information Technology,United States,,Mid-Senior level,Senior Data Engineering Manager - Enterprise Data Solutions,"['python', 'sql', 'machine learning', 'data warehouse', 'snowflake', 'sql server', 'database']"
52 applicants,External Apply,,PostalAddress,US,133125,927869,1979,"Atlanta, Georgia",1534,Retail,Atlanta,The Home Depot,Public Company,30339,Georgia,"10,001+ employees",careers.homedepot.com,"retail, home improvement, and customer service",2455 Paces Ferry Road,Full-time,Consumer Services,Information Technology,"Atlanta, GA",18/01/2025 8:59,Not Applicable,"Data Scientist, Online Recommendations","['python', 'sql', 'excel', 'tableau', 'data visualization', 'data analytics', 'statistics', 'nlp']"
Be among the first 25 applicants,External Apply,,,,131,2403,1828,,1449613,Public Policy Offices,,Florida Democratic Party,Nonprofit,,,11-50 employees,,,,Part-time,Public Policy Offices,Information Technology,"Tallahassee, FL",17/01/2025 23:25,Entry level,Data Fellow,['data analytics']
